SkadeNr SkadeAr avvikling antallskader SkadeEstimat Regress UtbetaltBelop RBNS
1410365-3 2008 0 0 25000.00 0.00 0.00 25000.00
1410365-3 2008 1 1 -25000.00 0.00 0.00 -25000.00
1410934-3 2008 0 1 50000.00 0.00 0.00 50000.00
1410934-3 2008 1 0 -50000.00 0.00 0.00 -50000.00
1411523-2 2008 0 0 100000.00 0.00 -59136.00 40864.00
1411523-2 2008 1 1 28175.00 0.00 -26692.50 1482.50
1411523-2 2008 3 0 400000.00 0.00 -18750.00 381250.00
1411523-2 2008 4 0 -423596.50 0.00 0.00 -423596.50
1417714-4 2008 0 0 25000.00 0.00 0.00 25000.00
1417714-4 2008 1 0 0.00 0.00 -4757.00 -4757.00
1417714-4 2008 2 0 -20243.00 0.00 0.00 -20243.00
1417714-4 2008 4 0 615243.00 0.00 0.00 615243.00
1417714-4 2008 5 1 0.00 0.00 -50000.00 -50000.00
1425164-1 2010 0 1 1185.00 0.00 -1185.00 0.00
1425301-1 2009 0 1 374.00 0.00 -374.00 0.00
1425845-2 2010 0 0 100000.00 0.00 -600.00 99400.00
1425845-2 2010 1 1 200000.00 0.00 -16930.00 183070.00
1425845-2 2010 2 0 -144174.00 0.00 -138296.00 -282470.00
1425845-9 2010 4 1 100000.00 0.00 -1200.00 98800.00
1427566-1 2008 0 1 0.00 0.00 0.00 0.00
1432376-3 2007 1 0 5000.00 0.00 -3851.00 1149.00
1432376-3 2007 2 1 0.00 0.00 -1035.00 -1035.00
1432376-3 2007 4 0 -114.00 0.00 0.00 -114.00
1438115-5 2010 0 1 300000.00 0.00 -26120.00 273880.00
1438115-5 2010 1 0 -150000.00 0.00 -15000.00 -165000.00
1438115-5 2010 2 0 -108880.00 0.00 0.00 -108880.00
1440429-3 2008 0 1 10000.00 0.00 0.00 10000.00
1440429-3 2008 1 0 15000.00 0.00 -7035.00 7965.00
1440429-3 2008 3 0 -17965.00 0.00 0.00 -17965.00
1444661-3 2009 1 1 0.00 0.00 0.00 0.00
1445577-3 2013 0 1 511.00 0.00 -511.00 0.00
1450114-1 2008 1 1 0.00 0.00 0.00 0.00
1450114-2 2008 3 0 1250000.00 0.00 0.00 1250000.00
1450114-2 2008 5 1 0.00 0.00 -67500.00 -67500.00
1453545-3 2012 1 0 40000.00 0.00 0.00 40000.00
1453545-3 2012 2 0 0.00 0.00 -2235.00 -2235.00
1453545-3 2012 3 1 0.00 0.00 -1285.00 -1285.00
1455007-1 2010 0 0 0.00 0.00 0.00 0.00
1455007-1 2010 1 1 5000.00 0.00 0.00 5000.00
1455007-1 2010 2 0 35000.00 0.00 0.00 35000.00
1463537-1 2008 0 0 80000.00 0.00 0.00 80000.00
1463537-1 2008 1 0 920000.00 0.00 -291502.00 628498.00
1463537-1 2008 4 1 400000.00 0.00 0.00 400000.00
1463537-1 2008 5 0 600000.00 0.00 -30000.00 570000.00
1463783-3 2011 0 1 0.00 0.00 0.00 0.00
1466502-1 2008 0 1 0.00 0.00 0.00 0.00
1466504-1 2009 1 1 0.00 0.00 0.00 0.00
1473195-9 2013 0 0 40000.00 0.00 -3218.00 36782.00
1473195-9 2013 1 1 15618.00 0.00 -52400.00 -36782.00
1477952-2 2008 0 0 25000.00 0.00 0.00 25000.00
1477952-2 2008 1 0 0.00 0.00 -1020.00 -1020.00
1477952-2 2008 2 1 -23980.00 0.00 0.00 -23980.00
1479213-1 2008 1 0 100000.00 0.00 -100590.00 -590.00
1479213-1 2008 2 0 1900000.00 0.00 -105000.00 1795000.00
1479213-1 2008 3 0 0.00 0.00 -48120.00 -48120.00
1479213-1 2008 4 1 -1746290.00 0.00 0.00 -1746290.00
1481453-4 2009 1 1 15001.00 0.00 -4585.00 10416.00
1481453-4 2009 2 0 10462.00 0.00 -20878.00 -10416.00
1481587-3 2008 2 1 3059.00 0.00 -3059.00 0.00
1483482-2 2008 0 1 0.00 0.00 0.00 0.00
1485902-2 2008 0 1 25000.00 0.00 0.00 25000.00
1485902-2 2008 1 0 -25000.00 0.00 0.00 -25000.00
1486812-2 2009 1 1 0.00 0.00 0.00 0.00
1494091-1 2009 0 0 15210.00 0.00 -7123.00 8087.00
1494091-1 2009 1 1 334905.00 0.00 -54156.36 280748.64
1494091-1 2009 2 0 412846.61 0.00 -677636.72 -264790.11
1494091-1 2009 3 0 830000.00 0.00 -21437.50 808562.50
1494091-1 2009 4 0 60000.00 0.00 -19531.25 40468.75
1494091-1 2009 5 0 60700.86 0.00 -723844.00 -663143.14
